C,Si,Mn,S,P,Ni,Cr,Mo,V,Cu,Co,W,O,Ti,N,Al,B,Nb,Sn,As,Sb,Current,Voltage,AC_DC,Electrode_polarity,Heat_input,Interpass_temp,Weld_type,PWHT_temp,PWHT_time,Yield_strength,UTS,Elongation,Reduction_area,Charpy_temp,Charpy_impact,Weld_ID
0.076,0.33,1.04,0.007,0.006,0.0,0.0,0.0,0.061,0.0,0.0,0.0,429.0,31.0,70.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-59,100,Evans-V/Mn-1991-B610awch
0.076,0.33,1.04,0.007,0.006,0.0,0.0,0.0,0.061,0.0,0.0,0.0,429.0,31.0,70.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,493,569,27.0,77.0,-44,100,Evans-V/Mn-1991-B610ht
0.077,0.32,1.05,0.008,0.006,0.0,0.0,0.0,0.085,0.0,0.0,0.0,400.0,34.0,72.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,538,592,25.2,74.0,,,Evans-V/Mn-1991-B850aw
0.077,0.32,1.05,0.008,0.006,0.0,0.0,0.0,0.085,0.0,0.0,0.0,400.0,34.0,72.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-60,100,Evans-V/Mn-1991-B850awch
0.077,0.32,1.05,0.008,0.006,0.0,0.0,0.0,0.085,0.0,0.0,0.0,400.0,34.0,72.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,538,609,25.4,75.0,-40,100,Evans-V/Mn-1991-B850ht
0.077,0.31,1.33,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,419.0,38.0,80.0,2.5,2.5,6.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,463,541,27.1,75.9,,,Evans-V/Mn-1991-C4aw
0.077,0.31,1.33,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,419.0,38.0,80.0,2.5,2.5,6.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-68,100,Evans-V/Mn-1991-C4awch
0.077,0.31,1.33,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,419.0,38.0,80.0,2.5,2.5,6.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,372,497,31.4,76.4,-81,100,Evans-V/Mn-1991-C4ht
0.072,0.33,1.22,0.008,0.006,0.0,0.0,0.0,0.019,0.0,0.0,0.0,447.0,29.0,85.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,486,545,29.6,78.2,,,Evans-V/Mn-1991-C190aw
0.072,0.33,1.22,0.008,0.006,0.0,0.0,0.0,0.019,0.0,0.0,0.0,447.0,29.0,85.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-66,100,Evans-V/Mn-1991-C190awch
0.072,0.33,1.22,0.008,0.006,0.0,0.0,0.0,0.019,0.0,0.0,0.0,447.0,29.0,85.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,455,533,28.4,77.9,-67,100,Evans-V/Mn-1991-C190ht
0.077,0.26,1.36,0.007,0.007,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,410.0,29.0,79.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,536,590,24.4,78.1,,,Evans-V/Mn-1991-C425aw
0.077,0.26,1.36,0.007,0.007,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,410.0,29.0,79.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-70,100,Evans-V/Mn-1991-C425awch
0.077,0.26,1.36,0.007,0.007,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,410.0,29.0,79.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,526,594,26.0,76.0,-62,100,Evans-V/Mn-1991-C425ht
0.078,0.3,1.35,0.007,0.007,0.0,0.0,0.0,0.0595,0.0,0.0,0.0,405.0,30.0,76.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,521,589,22.6,76.0,,,Evans-V/Mn-1991-C595aw
0.078,0.3,1.35,0.007,0.007,0.0,0.0,0.0,0.0595,0.0,0.0,0.0,405.0,30.0,76.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-70,100,Evans-V/Mn-1991-C595awch
0.078,0.3,1.35,0.007,0.007,0.0,0.0,0.0,0.0595,0.0,0.0,0.0,405.0,30.0,76.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,527,600,26.0,75.0,-60,100,Evans-V/Mn-1991-C595ht
0.076,0.26,1.36,0.007,0.006,0.0,0.0,0.0,0.1005,0.0,0.0,0.0,407.0,29.0,83.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,599,638,20.8,74.0,,,Evans-V/Mn-1991-C1005aw
0.076,0.26,1.36,0.007,0.006,0.0,0.0,0.0,0.1005,0.0,0.0,0.0,407.0,29.0,83.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-55,100,Evans-V/Mn-1991-C1005awch
0.076,0.26,1.36,0.007,0.006,0.0,0.0,0.0,0.1005,0.0,0.0,0.0,407.0,29.0,83.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,574,642,22.6,73.0,-36,100,Evans-V/Mn-1991-C1005ht
0.076,0.29,1.74,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,415.0,35.0,92.0,2.5,2.5,6.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,500,571,28.8,77.0,,,Evans-V/Mn-1991-D4aw
0.076,0.29,1.74,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,415.0,35.0,92.0,2.5,2.5,6.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-62,100,Evans-V/Mn-1991-D4awch
0.076,0.29,1.74,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,415.0,35.0,92.0,2.5,2.5,6.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,414,518,29.2,78.4,-71,100,Evans-V/Mn-1991-D4ht
0.077,0.26,1.73,0.007,0.008,0.0,0.0,0.0,0.0235,0.0,0.0,0.0,423.0,27.0,72.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,543,607,23.2,77.0,,,Evans-V/Mn-1991-D235aw
0.077,0.26,1.73,0.007,0.008,0.0,0.0,0.0,0.0235,0.0,0.0,0.0,423.0,27.0,72.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-62,100,Evans-V/Mn-1991-D235awch
0.077,0.26,1.73,0.007,0.008,0.0,0.0,0.0,0.0235,0.0,0.0,0.0,423.0,27.0,72.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,523,602,25.6,75.0,-59,100,Evans-V/Mn-1991-D235ht
0.077,0.26,1.72,0.007,0.008,0.0,0.0,0.0,0.041,0.0,0.0,0.0,423.0,25.0,74.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,578,617,21.8,75.0,,,Evans-V/Mn-1991-D410aw
0.077,0.26,1.72,0.007,0.008,0.0,0.0,0.0,0.041,0.0,0.0,0.0,423.0,25.0,74.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-67,100,Evans-V/Mn-1991-D410awch
0.077,0.26,1.72,0.007,0.008,0.0,0.0,0.0,0.041,0.0,0.0,0.0,423.0,25.0,74.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,538,626,21.8,74.0,-55,100,Evans-V/Mn-1991-D410ht
0.076,0.25,1.72,0.005,0.008,0.0,0.0,0.0,0.0605,0.0,0.0,0.0,405.0,25.0,86.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,589,650,21.6,75.0,,,Evans-V/Mn-1991-D605aw
0.076,0.25,1.72,0.005,0.008,0.0,0.0,0.0,0.0605,0.0,0.0,0.0,405.0,25.0,86.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-64,100,Evans-V/Mn-1991-D605awch
0.076,0.25,1.72,0.005,0.008,0.0,0.0,0.0,0.0605,0.0,0.0,0.0,405.0,25.0,86.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,521,597,24.4,74.0,-44,100,Evans-V/Mn-1991-D605ht
0.08,0.26,1.74,0.007,0.008,0.0,0.0,0.0,0.083,0.0,0.0,0.0,411.0,25.0,90.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,639,681,19.6,71.9,,,Evans-V/Mn-1991-D830aw
0.08,0.26,1.74,0.007,0.008,0.0,0.0,0.0,0.083,0.0,0.0,0.0,411.0,25.0,90.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-61,100,Evans-V/Mn-1991-D830awch
0.08,0.26,1.74,0.007,0.008,0.0,0.0,0.0,0.083,0.0,0.0,0.0,411.0,25.0,90.0,2.5,2.5,5.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,570,647,24.0,74.0,,,Evans-V/Mn-1991-D830ht
0.073,0.35,0.64,0.005,0.004,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,428.0,38.0,77.0,2.5,2.5,2.5,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,402,494,33.3,77.5,,,Evans-Nb/Mn-1991-A<5aw
0.073,0.35,0.64,0.005,0.004,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,428.0,38.0,77.0,2.5,2.5,2.5,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-45,100,Evans-Nb/Mn-1991-A<5awch
0.073,0.35,0.64,0.005,0.004,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,428.0,38.0,77.0,2.5,2.5,2.5,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,329,447,36.4,80.5,-55,100,Evans-Nb/Mn-1991-A<5ht
0.073,0.34,0.64,0.007,0.005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,431.0,41.0,80.0,2.5,2.5,120.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,450,532,28.0,76.0,,,Evans-Nb/Mn-1991-A120aw
0.073,0.34,0.64,0.007,0.005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,431.0,41.0,80.0,2.5,2.5,120.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-33,100,Evans-Nb/Mn-1991-A120awch
0.073,0.34,0.64,0.007,0.005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,431.0,41.0,80.0,2.5,2.5,120.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,415,497,24.6,78.7,-38,100,Evans-Nb/Mn-1991-A120ht
0.075,0.33,0.62,0.007,0.005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,429.0,42.0,85.0,2.5,2.5,220.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,474,553,26.8,80.7,,,Evans-Nb/Mn-1991-A220aw
0.075,0.33,0.62,0.007,0.005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,429.0,42.0,85.0,2.5,2.5,220.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-22,100,Evans-Nb/Mn-1991-A220awch
0.075,0.33,0.62,0.007,0.005,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,429.0,42.0,85.0,2.5,2.5,220.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,451,539,24.4,78.0,-27,100,Evans-Nb/Mn-1991-A220ht
0.07,0.33,0.64,0.007,0.004,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,413.0,42.0,85.0,2.5,2.5,450.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,522,580,25.0,76.0,,,Evans-Nb/Mn-1991-A450aw
0.07,0.33,0.64,0.007,0.004,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,413.0,42.0,85.0,2.5,2.5,450.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-7,100,Evans-Nb/Mn-1991-A450awch
0.07,0.33,0.64,0.007,0.004,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,413.0,42.0,85.0,2.5,2.5,450.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,484,576,23.0,74.9,-4,100,Evans-Nb/Mn-1991-A450ht
0.074,0.33,0.64,0.008,0.006,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,460.0,39.0,110.0,2.5,2.5,880.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,549,614,24.0,70.8,,,Evans-Nb/Mn-1991-A880aw
0.074,0.33,0.64,0.008,0.006,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,460.0,39.0,110.0,2.5,2.5,880.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,13,100,Evans-Nb/Mn-1991-A880awch
0.074,0.33,0.64,0.008,0.006,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,460.0,39.0,110.0,2.5,2.5,880.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,544,621,22.6,71.9,18,100,Evans-Nb/Mn-1991-A880ht
0.077,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,399.0,41.0,75.0,2.5,2.5,2.5,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,443,522,31.1,77.0,,,Evans-Nb/Mn-1991-B<5aw
0.077,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,399.0,41.0,75.0,2.5,2.5,2.5,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-60,100,Evans-Nb/Mn-1991-B<5awch
0.077,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,399.0,41.0,75.0,2.5,2.5,2.5,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,332,461,33.3,80.3,-80,100,Evans-Nb/Mn-1991-B<5ht
0.078,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,368.0,36.0,83.0,2.5,2.5,120.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,480,557,25.4,75.0,,,Evans-Nb/Mn-1991-B120aw
0.078,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,368.0,36.0,83.0,2.5,2.5,120.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-42,100,Evans-Nb/Mn-1991-B120awch
0.078,0.35,1.02,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,368.0,36.0,83.0,2.5,2.5,120.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,447,540,30.4,77.0,-55,100,Evans-Nb/Mn-1991-B120ht
0.074,0.34,1.0,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,424.0,37.0,86.0,2.5,2.5,255.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,513,594,28.0,76.0,,,Evans-Nb/Mn-1991-B255aw
0.074,0.34,1.0,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,424.0,37.0,86.0,2.5,2.5,255.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-38,100,Evans-Nb/Mn-1991-B255awch
0.074,0.34,1.0,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,424.0,37.0,86.0,2.5,2.5,255.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,492,575,25.2,76.0,-41,100,Evans-Nb/Mn-1991-B255ht
0.074,0.33,0.99,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,393.0,37.0,88.0,2.5,2.5,465.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,553,618,22.8,74.0,,,Evans-Nb/Mn-1991-B465aw
0.074,0.33,0.99,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,393.0,37.0,88.0,2.5,2.5,465.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-11,100,Evans-Nb/Mn-1991-B465awch
0.074,0.33,0.99,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,393.0,37.0,88.0,2.5,2.5,465.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,540,616,22.4,75.0,-20,100,Evans-Nb/Mn-1991-B465ht
0.075,0.34,1.02,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,417.0,37.0,79.0,2.5,2.5,985.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,615,655,20.2,72.9,,,Evans-Nb/Mn-1991-B985aw
0.075,0.34,1.02,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,417.0,37.0,79.0,2.5,2.5,985.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,14,100,Evans-Nb/Mn-1991-B985awch
0.075,0.34,1.02,0.007,0.006,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,417.0,37.0,79.0,2.5,2.5,985.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,603,676,19.8,70.8,8,100,Evans-Nb/Mn-1991-B985ht
0.077,0.31,1.33,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,419.0,38.0,80.0,2.5,2.5,6.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,463,541,27.1,75.9,,,Evans-Nb/Mn-1991-C<6aw
0.077,0.31,1.33,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,419.0,38.0,80.0,2.5,2.5,6.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-67,100,Evans-Nb/Mn-1991-C<6awch
0.077,0.31,1.33,0.007,0.005,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,419.0,38.0,80.0,2.5,2.5,6.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,372,497,31.4,76.4,-81,100,Evans-Nb/Mn-1991-C<6ht
0.079,0.33,1.37,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,417.0,34.0,97.0,2.5,2.5,105.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,505,586,25.8,77.9,,,Evans-Nb/Mn-1991-C105aw
0.079,0.33,1.37,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,417.0,34.0,97.0,2.5,2.5,105.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-55,100,Evans-Nb/Mn-1991-C105awch
0.079,0.33,1.37,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,417.0,34.0,97.0,2.5,2.5,105.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,500,578,24.8,76.0,-61,100,Evans-Nb/Mn-1991-C105ht
0.076,0.3,1.36,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,370.0,33.0,84.0,2.5,2.5,235.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,540,597,26.4,76.0,,,Evans-Nb/Mn-1991-C235aw
0.076,0.3,1.36,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,370.0,33.0,84.0,2.5,2.5,235.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-45,100,Evans-Nb/Mn-1991-C235awch
0.076,0.3,1.36,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,370.0,33.0,84.0,2.5,2.5,235.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,539,607,25.0,76.0,-41,100,Evans-Nb/Mn-1991-C235ht
0.077,0.34,1.39,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,409.0,32.0,99.0,2.5,2.5,455.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,586,641,24.2,76.0,,,Evans-Nb/Mn-1991-C455aw
0.077,0.34,1.39,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,409.0,32.0,99.0,2.5,2.5,455.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-23,100,Evans-Nb/Mn-1991-C455awch
0.077,0.34,1.39,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,409.0,32.0,99.0,2.5,2.5,455.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,583,651,22.6,71.9,-27,100,Evans-Nb/Mn-1991-C455ht
0.076,0.3,1.36,0.006,0.007,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,432.0,33.0,91.0,2.5,2.5,940.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,610,685,20.6,71.9,,,Evans-Nb/Mn-1991-C940aw
0.076,0.3,1.36,0.006,0.007,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,432.0,33.0,91.0,2.5,2.5,940.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-1,100,Evans-Nb/Mn-1991-C940awch
0.076,0.3,1.36,0.006,0.007,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,432.0,33.0,91.0,2.5,2.5,940.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,614,686,19.0,70.8,7,100,Evans-Nb/Mn-1991-C940ht
0.076,0.29,1.74,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,415.0,35.0,92.0,2.5,2.5,3.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,500,571,28.8,77.0,,,Evans-Nb/Mn-1991-D<5aw
0.076,0.29,1.74,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,415.0,35.0,92.0,2.5,2.5,3.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-62,100,Evans-Nb/Mn-1991-D<5awch
0.076,0.29,1.74,0.008,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,415.0,35.0,92.0,2.5,2.5,3.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,414,518,29.2,78.4,-71,100,Evans-Nb/Mn-1991-D<5ht
0.077,0.32,1.77,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,418.0,31.0,89.0,2.5,2.5,125.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,540,614,22.0,75.9,,,Evans-Nb/Mn-1991-D125aw
0.077,0.32,1.77,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,418.0,31.0,89.0,2.5,2.5,125.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-54,100,Evans-Nb/Mn-1991-D125awch
0.077,0.32,1.77,0.007,0.006,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,418.0,31.0,89.0,2.5,2.5,125.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,524,605,24.4,74.0,-61,100,Evans-Nb/Mn-1991-D125ht
0.078,0.3,1.76,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,433.0,32.0,110.0,2.5,2.5,230.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,575,635,22.6,74.0,,,Evans-Nb/Mn-1991-D230aw
0.078,0.3,1.76,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,433.0,32.0,110.0,2.5,2.5,230.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-42,100,Evans-Nb/Mn-1991-D230awch
0.078,0.3,1.76,0.007,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,433.0,32.0,110.0,2.5,2.5,230.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,553,627,22.0,76.8,-31,100,Evans-Nb/Mn-1991-D230ht
0.077,0.29,1.77,0.008,0.009,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,432.0,31.0,97.0,2.5,2.5,450.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,606,660,22.0,74.0,,,Evans-Nb/Mn-1991-D450aw
0.077,0.29,1.77,0.008,0.009,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,432.0,31.0,97.0,2.5,2.5,450.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-26,100,Evans-Nb/Mn-1991-D450awch
0.077,0.29,1.77,0.008,0.009,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,432.0,31.0,97.0,2.5,2.5,450.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,577,661,21.6,71.9,-15,100,Evans-Nb/Mn-1991-D450ht
0.079,0.29,1.79,0.006,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,406.0,33.0,105.0,2.5,2.5,895.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,250,14,654,708,19.2,70.8,,,Evans-Nb/Mn-1991-D895aw
0.079,0.29,1.79,0.006,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,406.0,33.0,105.0,2.5,2.5,895.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,0,0,,,,,-6,100,Evans-Nb/Mn-1991-D895awch
0.079,0.29,1.79,0.006,0.007,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,406.0,33.0,105.0,2.5,2.5,895.0,0.0,0.0,0.0,170,21,DC,+,1.0,200,MMA,580,2,638,716,17.2,68.6,4,100,Evans-Nb/Mn-1991-D895ht
0.062,0.22,1.17,0.007,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,180,34,AC,0,2.0,200,MMA,250,14,427,512,31.4,81.5,,,Evans-FelowH-1991-UF.05a
0.06,0.26,1.2,0.008,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,180,34,AC,0,2.0,200,MMA,250,14,440,523,33.0,81.5,,,Evans-FelowH-1991-UF.15a
0.06,0.25,1.19,0.008,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,180,34,AC,0,2.0,200,MMA,250,14,443,508,30.4,82.4,,,Evans-FelowH-1991-UF.25a
